Time,AltitudeMeters,LatitudeDegrees,LongitudeDegrees,HeartRateBpm,SecondsFromStart,DistanceTraveled
2020-05-07T13:06:00Z,91,59.157226,24.7034884,,10075.0,213990.2903023508
2020-05-07T13:06:31Z,94,59.1584423,24.692648,,10106.0,216066.4132547552
2020-05-07T13:07:02Z,90,59.1586251,24.6842778,,10137.0,217633.77469844455
2020-05-07T13:07:32Z,86,59.1581503,24.6766094,,10167.0,219078.8507240417
2020-05-07T13:08:03Z,91,59.1584251,24.6694747,,10198.0,220417.41936980037
2020-05-07T13:08:34Z,89,59.1602448,24.6688294,,10229.0,221092.36207810513
2020-05-07T13:09:04Z,87,59.1617063,24.668378,,10259.0,221632.3470725469
2020-05-07T13:09:35Z,90,59.1602184,24.6618464,,10290.0,222969.4378513774
2020-05-07T13:10:05Z,86,59.1592186,24.6586884,,10320.0,223663.81340305842
2020-05-07T13:10:36Z,85,59.1589779,24.6582212,,10351.0,223787.72950759428
2020-05-07T13:13:06Z,89,59.1589564,24.6576389,,10501.0,223896.94995702262
2020-05-07T13:13:55Z,90,59.1590442,24.6571413,,10550.0,223995.4016652166
2020-05-07T13:14:26Z,88,59.1596325,24.6506029,,10581.0,225237.30838131398
2020-05-07T13:14:57Z,86,59.1582081,24.6505621,,10612.0,225757.1671773291
2020-05-07T13:16:09Z,87,59.1579217,24.6508747,,10684.0,225876.93277087578
2020-05-07T13:16:40Z,87,59.1555078,24.6525978,,10715.0,226814.96957467738
2020-05-07T13:17:10Z,85,59.1504071,24.6529893,,10745.0,228677.79572547064
2020-05-07T13:17:41Z,83,59.1429758,24.6536062,,10776.0,231392.1372128282
2020-05-07T13:18:11Z,73,59.1360608,24.6597402,,10806.0,234164.55898842003
2020-05-07T13:18:42Z,72,59.1307564,24.665639,,10837.0,236393.16631862384
2020-05-07T13:19:13Z,80,59.1298293,24.6667481,,10868.0,236790.14123153
2020-05-07T13:19:50Z,82,59.1295617,24.6671434,,10905.0,236912.6771739244
2020-05-07T13:20:20Z,78,59.1240568,24.6740938,,10935.0,239306.33484202574
2020-05-07T13:20:51Z,80,59.1183758,24.6795867,,10966.0,241620.70554447002
2020-05-07T13:21:21Z,84,59.1178639,24.6717551,,10996.0,243099.4598536835
2020-05-07T13:21:52Z,83,59.1181858,24.6682072,,11027.0,243774.30820681213
2020-05-07T13:23:03Z,82,59.1180966,24.6689034,,11098.0,243908.7117565808
2020-05-07T13:23:34Z,84,59.1179872,24.6695498,,11129.0,244036.19874434223
2020-05-07T13:25:55Z,83,59.1180945,24.6689297,,11270.0,244158.77033056147
2020-05-07T13:26:25Z,85,59.1190417,24.6574632,,11300.0,246334.1270214538
2020-05-07T13:26:56Z,86,59.1161873,24.6477408,,11331.0,248432.08122710907
2020-05-07T13:27:26Z,83,59.1113274,24.639349,,11361.0,250802.02618544523
2020-05-07T13:27:57Z,84,59.1105941,24.6380478,,11392.0,251164.01530393556
2020-05-07T13:28:52Z,84,59.1105862,24.6373926,,11447.0,251286.7993499196
2020-05-07T13:29:22Z,81,59.1088451,24.6327522,,11477.0,252363.61823085893
2020-05-07T13:29:53Z,79,59.105078,24.6356073,,11508.0,253838.75329708075
